feature	weight	weight_abs	weight_norm
Cauchy	0.9050197399	0.9050197399	0.1660015600
Gaussian (RBF)	0.7110100152	0.7110100152	0.1304156876
Linear	0.7432601115	0.7432601115	0.1363311015
Sigmoid	0.8084611502	0.8084611502	0.1482904805
Tanimoto	0.7257648328	0.7257648328	0.1331220626
Piecewise C=0.80 W=0.20	0.4355056852	0.4355056852	0.0798818191
Piecewise C=0.80 W=0.08	0.1141128001	0.1141128001	0.0209309278
Piecewise C=0.82 W=0.08	0.1299168740	0.1299168740	0.0238297606
Piecewise C=0.84 W=0.08	0.5456745047	0.5456745047	0.1000893296
Piecewise C=0.78 W=0.08	0.3331491965	0.3331491965	0.0611072708
