epoch	loss
1	6.931471805599453e-01
2	1.529827916767925e-01
3	1.219029685355533e-01
4	1.061047884347915e-01
5	9.643588924456978e-02
6	8.989714628329615e-02
7	8.518457709524838e-02
8	8.163319368207292e-02
9	7.886638787635665e-02
10	7.665428185387739e-02
11	7.484840975052967e-02
12	7.334855155143818e-02
13	7.208460291500930e-02
14	7.100606660070707e-02
15	7.007566376112005e-02
16	6.926529258034685e-02
17	6.855338445539036e-02
18	6.792312387896653e-02
19	6.736121952321257e-02
20	6.685703706037643e-02
21	6.640197528145617e-02
22	6.598900945071261e-02
23	6.561235186583560e-02
24	6.526719600463618e-02
25	6.494952122804909e-02
26	6.465594198592937e-02
27	6.438359015680183e-02
28	6.413002235310955e-02
29	6.389314624466132e-02
30	6.367116151701119e-02
31	6.346251219762293e-02
32	6.326584788904394e-02
33	6.307999203760523e-02
34	6.290391580142134e-02
35	6.273671640615949e-02
36	6.257759912151720e-02
37	6.242586217702503e-02
38	6.228088407796734e-02
39	6.214211289191782e-02
40	6.200905716165268e-02
41	6.188127816692594e-02
42	6.175838331014167e-02
43	6.164002044260095e-02
44	6.152587298119105e-02
45	6.141565569198361e-02
46	6.130911103863823e-02
47	6.120600601085759e-02
48	6.110612936225486e-02
49	6.100928919852801e-02
50	6.091531086630207e-02
51	6.082403510080274e-02
52	6.073531639697880e-02
53	6.064902157405290e-02
54	6.056502850794952e-02
55	6.048322500978612e-02
56	6.040350783175304e-02
57	6.032578178434720e-02
58	6.024995895115869e-02
59	6.017595798929725e-02
60	6.010370350515371e-02
61	6.003312549655818e-02
62	5.996415885356678e-02
63	5.989674291110884e-02
64	5.983082104758664e-02
65	5.976634032425901e-02
66	5.970325116087853e-02
67	5.964150704360369e-02
68	5.958106426168548e-02
69	5.952188166984283e-02
70	5.946392047360319e-02
71	5.940714403519851e-02
72	5.935151769788281e-02
73	5.929700862677800e-02
74	5.924358566456552e-02
75	5.919121920052731e-02
76	5.913988105160207e-02
77	5.908954435426723e-02
78	5.904018346618314e-02
79	5.899177387664945e-02
80	5.894429212502104e-02
81	5.889771572632137e-02
82	5.885202310336683e-02
83	5.880719352478762e-02
84	5.876320704839023e-02
85	5.872004446936424e-02
86	5.867768727288331e-02
87	5.863611759069580e-02
88	5.859531816133906e-02
89	5.855527229364706e-02
90	5.851596383325280e-02
91	5.847737713181510e-02
92	5.843949701872508e-02
93	5.840230877507105e-02
94	5.836579810966020e-02
95	5.832995113691552e-02
96	5.829475435648203e-02
97	5.826019463439223e-02
98	5.822625918565459e-02
99	5.819293555814060e-02
100	5.816021161765796e-02
101	5.812807553410707e-02
102	5.809651576862775e-02
103	5.806552106165097e-02
104	5.803508042177834e-02
105	5.800518311541879e-02
106	5.797581865711855e-02
107	5.794697680052539e-02
108	5.791864752993442e-02
109	5.789082105236617e-02
110	5.786348779013344e-02
111	5.783663837385575e-02
112	5.781026363588479e-02
113	5.778435460410765e-02
114	5.775890249609654e-02
115	5.773389871357733e-02
116	5.770933483719139e-02
117	5.768520262152756e-02
118	5.766149399040257e-02
119	5.763820103237102e-02
120	5.761531599644684e-02
121	5.759283128802029e-02
122	5.757073946495594e-02
