B-idx	It-idx	Energy	Acceptance~
0	0	-0.000754806	0.1
0	1	-0.000809296	0.2
0	2	-0.0014646	0.3
0	3	-0.00218228	0.4
0	4	-0.00318018	0.5
0	5	-0.00386695	0.6
0	6	-0.00411881	0.7
0	7	-0.00477628	0.8
0	8	-0.00479194	0.9
0	9	-0.00547067	1
1	0	-0.00564214	0.1
1	1	-0.00588718	0.2
1	2	-0.00596962	0.3
1	3	-0.00700079	0.4
1	4	-0.00800251	0.5
1	5	-0.0082964	0.6
1	6	-0.00897348	0.7
1	7	-0.00960716	0.8
1	8	-0.0101782	0.9
1	9	-0.0104788	1
2	0	-0.010673	0.1
2	1	-0.0106931	0.2
2	2	-0.011274	0.3
2	3	-0.011764	0.4
2	4	-0.0124688	0.5
2	5	-0.0134186	0.6
2	6	-0.0139245	0.7
2	7	-0.0149919	0.8
2	8	-0.0152921	0.9
2	9	-0.0160628	1
3	0	-0.0165795	0.1
3	1	-0.0166304	0.2
3	2	-0.0167353	0.3
3	3	-0.0172429	0.4
3	4	-0.0183636	0.5
3	5	-0.0183636	0.6
3	6	-0.0191145	0.7
3	7	-0.02027	0.8
3	8	-0.020363	0.9
3	9	-0.0214552	1
4	0	-0.0214725	0.1
4	1	-0.0222356	0.2
4	2	-0.0223694	0.3
4	3	-0.0233405	0.4
4	4	-0.0240996	0.5
4	5	-0.0244243	0.6
4	6	-0.0244244	0.7
4	7	-0.0245657	0.8
4	8	-0.0245883	0.9
4	9	-0.0249784	1
5	0	-0.0260919	0.1
5	1	-0.0270371	0.2
5	2	-0.0270371	0.3
5	3	-0.0277988	0.4
5	4	-0.028087	0.5
5	5	-0.0287673	0.6
5	6	-0.0290971	0.7
5	7	-0.0292313	0.8
5	8	-0.0293976	0.9
5	9	-0.0305703	1
6	0	-0.031501	0.1
6	1	-0.0322863	0.2
6	2	-0.0335039	0.3
6	3	-0.0335039	0.4
6	4	-0.034609	0.5
6	5	-0.0350172	0.6
6	6	-0.0350172	0.7
6	7	-0.035819	0.8
6	8	-0.0370049	0.9
6	9	-0.0380895	1
7	0	-0.0380895	0.1
7	1	-0.0384545	0.2
7	2	-0.0387724	0.3
7	3	-0.0392036	0.4
7	4	-0.0401208	0.5
7	5	-0.0401208	0.6
7	6	-0.0404608	0.7
7	7	-0.0411088	0.8
7	8	-0.0411088	0.9
7	9	-0.0424235	1
8	0	-0.0436526	0.1
8	1	-0.0446953	0.2
8	2	-0.0446953	0.3
8	3	-0.0450443	0.4
8	4	-0.0462584	0.5
8	5	-0.0472563	0.6
8	6	-0.0472563	0.7
8	7	-0.0472563	0.8
8	8	-0.0481268	0.9
8	9	-0.0491381	1
9	0	-0.0504726	0.1
9	1	-0.0510553	0.2
9	2	-0.0510553	0.3
9	3	-0.0521548	0.4
9	4	-0.0534424	0.5
9	5	-0.0534424	0.6
9	6	-0.0549844	0.7
9	7	-0.05557	0.8
9	8	-0.0557866	0.9
9	9	-0.0562	1
