Line	B-idx	Beta	It-idx	Energy	Acceptance~
0	0	2067.016711	0	-0.000947	0.01
1	0	2067.016711	1	-0.001511	0.02
2	0	2067.016711	2	-0.001615	0.03
3	0	2067.016711	3	-0.001998	0.04
4	0	2067.016711	4	-0.002796	0.05
5	0	2067.016711	5	-0.003221	0.06
6	0	2067.016711	6	-0.004040	0.07
7	0	2067.016711	7	-0.004539	0.08
8	0	2067.016711	8	-0.005371	0.09
9	0	2067.016711	9	-0.005785	0.1
10	0	2067.016711	10	-0.005900	0.11
11	0	2067.016711	11	-0.006684	0.12
12	0	2067.016711	12	-0.007488	0.13
13	0	2067.016711	13	-0.007906	0.14
14	0	2067.016711	14	-0.008408	0.15
15	0	2067.016711	15	-0.008549	0.16
16	0	2067.016711	16	-0.008923	0.17
17	0	2067.016711	17	-0.009851	0.18
18	0	2067.016711	18	-0.010133	0.19
19	0	2067.016711	19	-0.010306	0.2
20	0	2067.016711	20	-0.010316	0.21
21	0	2067.016711	21	-0.010918	0.22
22	0	2067.016711	22	-0.011656	0.23
23	0	2067.016711	23	-0.011942	0.24
24	0	2067.016711	24	-0.012642	0.25
25	0	2067.016711	25	-0.013243	0.26
26	0	2067.016711	26	-0.014121	0.27
27	0	2067.016711	27	-0.014625	0.28
28	0	2067.016711	28	-0.015350	0.29
29	0	2067.016711	29	-0.016225	0.3
30	0	2067.016711	30	-0.016225	0.31
31	0	2067.016711	31	-0.016719	0.32
32	0	2067.016711	32	-0.017047	0.33
33	0	2067.016711	33	-0.017407	0.34
34	0	2067.016711	34	-0.017407	0.35
35	0	2067.016711	35	-0.018147	0.36
36	0	2067.016711	36	-0.018767	0.37
37	0	2067.016711	37	-0.018875	0.38
38	0	2067.016711	38	-0.019674	0.39
39	0	2067.016711	39	-0.019674	0.4
40	0	2067.016711	40	-0.020174	0.41
41	0	2067.016711	41	-0.020770	0.42
42	0	2067.016711	42	-0.020912	0.43
43	0	2067.016711	43	-0.021281	0.44
44	0	2067.016711	44	-0.021300	0.45
45	0	2067.016711	45	-0.021941	0.46
46	0	2067.016711	46	-0.022433	0.47
47	0	2067.016711	47	-0.022727	0.48
48	0	2067.016711	48	-0.023292	0.49
49	0	2067.016711	49	-0.023501	0.5
50	0	2067.016711	50	-0.023821	0.51
51	0	2067.016711	51	-0.024722	0.52
52	0	2067.016711	52	-0.025156	0.53
53	0	2067.016711	53	-0.025156	0.54
54	0	2067.016711	54	-0.026148	0.55
55	0	2067.016711	55	-0.026503	0.56
56	0	2067.016711	56	-0.026903	0.57
57	0	2067.016711	57	-0.026903	0.58
58	0	2067.016711	58	-0.027682	0.59
59	0	2067.016711	59	-0.028293	0.6
60	0	2067.016711	60	-0.028829	0.61
61	0	2067.016711	61	-0.029260	0.62
62	0	2067.016711	62	-0.030224	0.63
63	0	2067.016711	63	-0.030414	0.64
64	0	2067.016711	64	-0.030917	0.65
65	0	2067.016711	65	-0.031534	0.66
66	0	2067.016711	66	-0.031839	0.67
67	0	2067.016711	67	-0.031839	0.67
68	0	2067.016711	68	-0.032151	0.68
69	0	2067.016711	69	-0.032358	0.69
70	0	2067.016711	70	-0.032562	0.7
71	0	2067.016711	71	-0.032836	0.71
72	0	2067.016711	72	-0.032871	0.72
73	0	2067.016711	73	-0.033727	0.73
74	0	2067.016711	74	-0.033998	0.74
75	0	2067.016711	75	-0.034519	0.75
76	0	2067.016711	76	-0.034855	0.76
77	0	2067.016711	77	-0.034855	0.77
78	0	2067.016711	78	-0.035460	0.78
79	0	2067.016711	79	-0.036159	0.79
80	0	2067.016711	80	-0.037128	0.8
81	0	2067.016711	81	-0.037128	0.81
82	0	2067.016711	82	-0.037443	0.82
83	0	2067.016711	83	-0.038132	0.83
84	0	2067.016711	84	-0.038261	0.84
85	0	2067.016711	85	-0.038921	0.85
86	0	2067.016711	86	-0.039792	0.86
87	0	2067.016711	87	-0.040047	0.87
88	0	2067.016711	88	-0.040538	0.88
89	0	2067.016711	89	-0.040984	0.89
