B-idx	Beta	Energy	Acceptance
1	2067.016711	-0.044009	0.990000
2	2273.718382	-0.086005	1.000000
3	2501.090221	-0.123422	1.000000
4	2751.199243	-0.151067	0.990000
5	3026.319167	-0.181818	1.000000
6	3328.951084	-0.213199	0.990000
7	3661.846192	-0.247950	1.000000
8	4028.030811	-0.289056	0.990000
9	4430.833892	-0.321619	0.970000
10	4873.917282	-0.344033	0.980000
11	5361.309010	-0.379966	0.990000
12	5897.439911	-0.414858	0.980000
13	6487.183902	-0.443497	0.980000
14	7135.902292	-0.470791	0.980000
15	7849.492521	-0.507676	0.940000
16	8634.441773	-0.541053	0.940000
17	9497.885951	-0.575797	0.960000
18	10447.674546	-0.614055	0.950000
19	11492.442000	-0.644237	0.950000
20	12641.686200	-0.683482	0.960000
21	13905.854820	-0.723715	0.960000
22	15296.440302	-0.755022	0.920000
23	16826.084332	-0.795381	0.930000
24	18508.692766	-0.847708	0.960000
25	20359.562042	-0.897193	0.940000
26	22395.518246	-0.947466	0.960000
27	24635.070071	-0.993532	0.960000
28	27098.577078	-1.040805	0.880000
29	29808.434786	-1.099614	0.890000
30	32789.278265	-1.163782	0.910000
31	36068.206091	-1.219636	0.910000
32	39675.026700	-1.292019	0.860000
33	43642.529370	-1.392337	0.910000
34	48006.782307	-1.466887	0.860000
35	52807.460538	-1.550374	0.870000
36	58088.206592	-1.638636	0.880000
37	63897.027251	-1.726872	0.780000
38	70286.729976	-1.808049	0.860000
39	77315.402974	-1.887298	0.830000
40	85046.943271	-1.988655	0.800000
41	93551.637598	-2.074262	0.790000
42	102906.801358	-2.195071	0.830000
43	113197.481494	-2.312915	0.790000
44	124517.229643	-2.426824	0.720000
45	136968.952608	-2.533682	0.730000
46	150665.847868	-2.652770	0.720000
47	165732.432655	-2.802003	0.770000
48	182305.675921	-2.979359	0.720000
49	200536.243513	-3.105217	0.720000
50	220589.867864	-3.243419	0.740000
51	242648.854651	-3.374002	0.700000
52	266913.740116	-3.594151	0.750000
53	293605.114127	-3.788738	0.690000
54	322965.625540	-3.951231	0.600000
55	355262.188094	-4.198503	0.680000
56	390788.406903	-4.391220	0.600000
57	429867.247594	-4.567702	0.520000
58	472853.972353	-4.752678	0.650000
59	520139.369588	-4.982266	0.670000
60	572153.306547	-5.133839	0.620000
61	629368.637202	-5.334270	0.670000
62	692305.500922	-5.629067	0.580000
63	761536.051014	-5.993705	0.560000
64	837689.656116	-6.299185	0.600000
65	921458.621727	-6.642015	0.710000
66	1013604.483900	-6.988013	0.660000
67	1114964.932290	-7.345285	0.590000
68	1226461.425519	-7.572938	0.540000
69	1349107.568071	-7.843232	0.580000
70	1484018.324878	-8.167587	0.590000
71	1632420.157366	-8.546645	0.610000
72	1795662.173102	-8.932715	0.550000
73	1975228.390412	-9.348348	0.660000
74	2172751.229454	-9.763611	0.560000
75	2390026.352399	-10.190802	0.540000
76	2629028.987639	-10.668544	0.620000
77	2891931.886403	-11.040344	0.550000
78	3181125.075043	-11.605303	0.590000
79	3499237.582547	-12.037907	0.610000
80	3849161.340802	-12.637387	0.610000
81	4234077.474882	-13.252033	0.670000
82	4657485.222370	-13.744468	0.560000
83	5123233.744607	-14.338809	0.680000
84	5635557.119068	-14.952691	0.620000
85	6199112.830975	-15.521523	0.550000
86	6819024.114073	-16.102268	0.550000
87	7500926.525480	-16.614955	0.630000
88	8251019.178028	-17.025252	0.620000
89	9076121.095831	-17.540720	0.550000
90	9983733.205414	-18.064163	0.520000
91	10982106.525955	-18.764644	0.560000
92	12080317.178550	-19.441430	0.620000
93	13288348.896405	-20.040690	0.530000
94	14617183.786046	-20.607270	0.590000
95	16078902.164651	-21.165837	0.570000
96	17686792.381116	-21.544174	0.510000
97	19455471.619227	-22.138526	0.570000
98	21401018.781150	-22.586352	0.480000
99	23541120.659265	-23.196606	0.550000
100	25895232.725191	-23.616002	0.540000
