x	y	z
0	9	1.0000
1	9	0.9976
2	9	0.9799
3	9	0.9743
4	9	0.9970
5	9	0.9254
6	9	0.8527
7	9	0.9184
8	9	0.9656
9	9	0.7789
0	8	0.9976
1	8	1.0000
2	8	0.9727
3	8	0.9675
4	8	0.9962
5	8	0.9160
6	8	0.8424
7	8	0.9093
8	8	0.9584
9	8	0.7668
0	7	0.9799
1	7	0.9727
2	7	1.0000
3	7	0.9985
4	7	0.9773
5	7	0.9362
6	7	0.8650
7	7	0.9274
8	7	0.9707
9	7	0.7966
0	6	0.9743
1	6	0.9675
2	6	0.9985
3	6	1.0000
4	6	0.9717
5	6	0.9282
6	6	0.8575
7	6	0.9214
8	6	0.9659
9	6	0.7887
0	5	0.9970
1	5	0.9962
2	5	0.9773
3	5	0.9717
4	5	1.0000
5	5	0.9191
6	5	0.8466
7	5	0.9109
8	5	0.9582
9	5	0.7730
0	4	0.9254
1	4	0.9160
2	4	0.9362
3	4	0.9282
4	4	0.9191
5	4	1.0000
6	4	0.9584
7	4	0.9780
8	4	0.9649
9	4	0.9329
0	3	0.8527
1	3	0.8424
2	3	0.8650
3	3	0.8575
4	3	0.8466
5	3	0.9584
6	3	1.0000
7	3	0.9782
8	3	0.9222
9	3	0.9778
0	2	0.9184
1	2	0.9093
2	2	0.9274
3	2	0.9214
4	2	0.9109
5	2	0.9780
6	2	0.9782
7	2	1.0000
8	2	0.9766
9	2	0.9376
0	1	0.9656
1	1	0.9584
2	1	0.9707
3	1	0.9659
4	1	0.9582
5	1	0.9649
6	1	0.9222
7	1	0.9766
8	1	1.0000
9	1	0.8589
0	0	0.7789
1	0	0.7668
2	0	0.7966
3	0	0.7887
4	0	0.7730
5	0	0.9329
6	0	0.9778
7	0	0.9376
8	0	0.8589
9	0	1.0000
