x	Cauchy	Gaussian	Tanimoto	Linear	Sigmoid
-0.800	0.0082	0.0069	0.0100	0.0183	0.0000
-0.764	0.0047	0.0054	0.0086	0.0158	0.0000
-0.727	0.0026	0.0042	0.0068	0.0124	0.0002
-0.691	0.0022	0.0041	0.0054	0.0089	0.0005
-0.655	0.0033	0.0052	0.0053	0.0056	0.0013
-0.618	0.0054	0.0067	0.0067	0.0030	0.0028
-0.582	0.0079	0.0078	0.0093	0.0015	0.0048
-0.545	0.0102	0.0080	0.0119	0.0009	0.0066
-0.509	0.0120	0.0080	0.0139	0.0013	0.0075
-0.473	0.0138	0.0095	0.0149	0.0025	0.0069
-0.436	0.0156	0.0135	0.0149	0.0044	0.0051
-0.400	0.0175	0.0199	0.0139	0.0063	0.0031
-0.364	0.0186	0.0269	0.0120	0.0074	0.0015
-0.327	0.0186	0.0319	0.0093	0.0071	0.0006
-0.291	0.0176	0.0327	0.0064	0.0055	0.0002
-0.255	0.0165	0.0288	0.0042	0.0035	0.0001
-0.218	0.0168	0.0221	0.0036	0.0018	0.0000
-0.182	0.0187	0.0154	0.0050	0.0007	0.0000
-0.145	0.0212	0.0109	0.0083	0.0003	0.0000
-0.109	0.0225	0.0090	0.0125	0.0001	0.0000
-0.073	0.0214	0.0085	0.0161	0.0000	0.0000
-0.036	0.0188	0.0078	0.0181	0.0000	0.0000
-0.000	0.0162	0.0070	0.0191	0.0001	0.0000
0.036	0.0150	0.0073	0.0208	0.0003	0.0001
0.073	0.0155	0.0105	0.0246	0.0009	0.0002
0.109	0.0175	0.0177	0.0309	0.0025	0.0007
0.145	0.0206	0.0285	0.0395	0.0055	0.0019
0.182	0.0246	0.0411	0.0498	0.0102	0.0040
0.218	0.0290	0.0538	0.0612	0.0157	0.0075
0.255	0.0338	0.0658	0.0723	0.0201	0.0124
0.291	0.0404	0.0775	0.0818	0.0214	0.0188
0.327	0.0515	0.0885	0.0887	0.0193	0.0265
0.364	0.0688	0.0974	0.0936	0.0155	0.0346
0.400	0.0905	0.1026	0.0989	0.0129	0.0418
0.436	0.1111	0.1045	0.1080	0.0139	0.0474
0.473	0.1255	0.1062	0.1231	0.0189	0.0533
0.509	0.1333	0.1126	0.1444	0.0263	0.0633
0.545	0.1404	0.1282	0.1702	0.0342	0.0812
0.582	0.1547	0.1542	0.1997	0.0424	0.1084
0.618	0.1813	0.1882	0.2323	0.0541	0.1436
0.655	0.2196	0.2260	0.2658	0.0733	0.1846
0.691	0.2646	0.2628	0.2941	0.1025	0.2314
0.727	0.3101	0.2932	0.3115	0.1423	0.2880
0.764	0.3516	0.3119	0.3184	0.1935	0.3596
0.800	0.3883	0.3177	0.3236	0.2598	0.4488
0.836	0.4247	0.3173	0.3394	0.3476	0.5519
0.873	0.4698	0.3249	0.3729	0.4625	0.6588
0.909	0.5327	0.3560	0.4209	0.6062	0.7567
0.945	0.6181	0.4192	0.4729	0.7731	0.8356
0.982	0.7256	0.5125	0.5192	0.9496	0.8931
1.018	0.8520	0.6254	0.5580	1.1173	0.9320
1.055	0.9908	0.7444	0.5961	1.2604	0.9537
1.091	1.1298	0.8557	0.6440	1.3707	0.9564
1.127	1.2531	0.9468	0.7095	1.4446	0.9407
1.164	1.3477	1.0107	0.7914	1.4796	0.9154
1.200	1.4081	1.0504	0.8758	1.4749	0.8952
