x	Cauchy	Gaussian	Tanimoto	Linear	Sigmoid
-2.500	0.0000	0.0000	0.0228	0.0000	0.0000
-2.458	0.0000	0.0002	0.0371	0.0000	0.0000
-2.416	0.0000	0.0006	0.0518	0.0000	0.0000
-2.374	0.0000	0.0019	0.0635	0.0000	0.0000
-2.332	0.0000	0.0049	0.0703	0.0000	0.0000
-2.290	0.0000	0.0108	0.0731	0.0000	0.0000
-2.248	0.0000	0.0207	0.0754	0.0000	0.0000
-2.206	0.0001	0.0351	0.0829	0.0000	0.0000
-2.164	0.0003	0.0529	0.1000	0.0000	0.0000
-2.122	0.0010	0.0717	0.1279	0.0000	0.0000
-2.080	0.0033	0.0887	0.1640	0.0000	0.0000
-2.038	0.0084	0.1028	0.2037	0.0000	0.0000
-1.996	0.0180	0.1147	0.2426	0.0000	0.0000
-1.954	0.0322	0.1266	0.2768	0.0000	0.0000
-1.912	0.0494	0.1411	0.3047	0.0000	0.0000
-1.870	0.0677	0.1606	0.3274	0.0001	0.0000
-1.828	0.0865	0.1868	0.3470	0.0003	0.0000
-1.786	0.1068	0.2197	0.3641	0.0010	0.0001
-1.744	0.1291	0.2570	0.3779	0.0034	0.0004
-1.702	0.1531	0.2921	0.3894	0.0092	0.0015
-1.660	0.1799	0.3179	0.4013	0.0211	0.0045
-1.618	0.2131	0.3328	0.4145	0.0412	0.0116
-1.576	0.2565	0.3437	0.4245	0.0699	0.0254
-1.534	0.3103	0.3603	0.4244	0.1056	0.0475
-1.492	0.3701	0.3860	0.4112	0.1455	0.0777
-1.450	0.4289	0.4157	0.3894	0.1883	0.1127
-1.408	0.4792	0.4398	0.3661	0.2370	0.1480
-1.366	0.5166	0.4511	0.3447	0.2993	0.1805
-1.324	0.5406	0.4478	0.3214	0.3827	0.2113
-1.282	0.5529	0.4344	0.2898	0.4867	0.2482
-1.239	0.5548	0.4183	0.2468	0.5980	0.3033
-1.197	0.5439	0.4032	0.1962	0.6959	0.3854
-1.155	0.5167	0.3841	0.1475	0.7622	0.4893
-1.113	0.4720	0.3521	0.1101	0.7880	0.5956
-1.071	0.4144	0.3031	0.0882	0.7713	0.6817
-1.029	0.3518	0.2428	0.0785	0.7145	0.7339
-0.987	0.2918	0.1825	0.0737	0.6250	0.7488
-0.945	0.2380	0.1316	0.0681	0.5168	0.7263
-0.903	0.1906	0.0948	0.0604	0.4066	0.6675
-0.861	0.1497	0.0723	0.0532	0.3087	0.5794
-0.819	0.1163	0.0622	0.0486	0.2299	0.4770
-0.777	0.0921	0.0608	0.0461	0.1696	0.3775
-0.735	0.0771	0.0636	0.0437	0.1233	0.2920
-0.693	0.0691	0.0661	0.0411	0.0870	0.2233
-0.651	0.0645	0.0648	0.0398	0.0590	0.1687
-0.609	0.0608	0.0586	0.0418	0.0388	0.1248
-0.567	0.0572	0.0486	0.0461	0.0249	0.0901
-0.525	0.0531	0.0381	0.0491	0.0155	0.0642
-0.483	0.0480	0.0310	0.0470	0.0090	0.0462
-0.441	0.0415	0.0295	0.0393	0.0046	0.0341
-0.399	0.0347	0.0335	0.0296	0.0020	0.0252
-0.357	0.0295	0.0402	0.0227	0.0007	0.0177
-0.315	0.0268	0.0451	0.0205	0.0002	0.0111
-0.273	0.0265	0.0450	0.0218	0.0001	0.0060
-0.231	0.0277	0.0390	0.0238	0.0000	0.0027
-0.189	0.0292	0.0291	0.0244	0.0000	0.0010
-0.147	0.0296	0.0187	0.0234	0.0000	0.0003
-0.105	0.0278	0.0109	0.0215	0.0000	0.0001
-0.063	0.0239	0.0071	0.0200	0.0000	0.0000
-0.021	0.0192	0.0069	0.0194	0.0001	0.0000
0.021	0.0151	0.0091	0.0198	0.0004	0.0001
0.063	0.0124	0.0128	0.0208	0.0012	0.0003
0.105	0.0114	0.0176	0.0225	0.0032	0.0010
0.147	0.0122	0.0239	0.0263	0.0070	0.0023
0.189	0.0152	0.0322	0.0338	0.0127	0.0044
0.231	0.0210	0.0428	0.0457	0.0190	0.0073
0.273	0.0297	0.0554	0.0602	0.0236	0.0106
0.315	0.0417	0.0688	0.0733	0.0248	0.0138
0.357	0.0566	0.0804	0.0813	0.0225	0.0168
0.399	0.0718	0.0875	0.0846	0.0188	0.0190
0.441	0.0837	0.0898	0.0883	0.0162	0.0198
0.483	0.0908	0.0903	0.0993	0.0156	0.0191
0.525	0.0958	0.0945	0.1215	0.0163	0.0177
0.567	0.1054	0.1072	0.1536	0.0173	0.0169
0.609	0.1261	0.1305	0.1907	0.0192	0.0172
0.651	0.1597	0.1628	0.2264	0.0240	0.0180
0.693	0.2020	0.1994	0.2545	0.0339	0.0189
0.735	0.2442	0.2325	0.2725	0.0503	0.0203
0.777	0.2787	0.2544	0.2846	0.0743	0.0237
0.819	0.3039	0.2630	0.3001	0.1072	0.0306
0.861	0.3265	0.2664	0.3269	0.1507	0.0435
0.903	0.3572	0.2782	0.3655	0.2073	0.0652
0.945	0.4046	0.3092	0.4099	0.2783	0.0985
0.987	0.4707	0.3602	0.4540	0.3623	0.1451
1.029	0.5522	0.4240	0.4962	0.4548	0.2058
1.071	0.6410	0.4916	0.5391	0.5497	0.2803
1.113	0.7265	0.5555	0.5849	0.6403	0.3656
1.155	0.7977	0.6089	0.6315	0.7208	0.4550
1.197	0.8457	0.6472	0.6694	0.7895	0.5408
1.239	0.8647	0.6706	0.6857	0.8493	0.6171
1.282	0.8522	0.6837	0.6742	0.9028	0.6825
1.324	0.8123	0.6891	0.6403	0.9446	0.7387
1.366	0.7552	0.6834	0.5969	0.9630	0.7890
1.408	0.6920	0.6619	0.5548	0.9488	0.8345
1.450	0.6290	0.6251	0.5177	0.9028	0.8719
1.492	0.5662	0.5790	0.4844	0.8321	0.8950
1.534	0.5011	0.5308	0.4518	0.7436	0.8982
1.576	0.4315	0.4848	0.4174	0.6423	0.8796
1.618	0.3595	0.4427	0.3817	0.5352	0.8411
1.660	0.2906	0.4045	0.3473	0.4314	0.7844
1.702	0.2299	0.3689	0.3157	0.3391	0.7093
1.744	0.1781	0.3336	0.2857	0.2636	0.6154
1.786	0.1331	0.2973	0.2552	0.2076	0.5070
1.828	0.0936	0.2607	0.2230	0.1696	0.3951
1.870	0.0607	0.2244	0.1891	0.1430	0.2934
1.912	0.0357	0.1883	0.1535	0.1192	0.2123
1.954	0.0189	0.1521	0.1173	0.0934	0.1564
1.996	0.0088	0.1167	0.0839	0.0668	0.1246
2.038	0.0036	0.0839	0.0572	0.0434	0.1104
2.080	0.0012	0.0558	0.0386	0.0261	0.1043
2.122	0.0004	0.0336	0.0268	0.0147	0.0964
2.164	0.0001	0.0179	0.0193	0.0077	0.0815
2.206	0.0000	0.0083	0.0144	0.0037	0.0609
2.248	0.0000	0.0033	0.0109	0.0015	0.0396
2.290	0.0000	0.0011	0.0079	0.0005	0.0225
2.332	0.0000	0.0003	0.0052	0.0002	0.0111
2.374	0.0000	0.0001	0.0030	0.0000	0.0048
2.416	0.0000	0.0000	0.0014	0.0000	0.0018
2.458	0.0000	0.0000	0.0005	0.0000	0.0006
2.500	0.0000	0.0000	0.0002	0.0000	0.0002
