x	c_h	c_m	g_h	g_m	l_h	l_m	s_h	s_m	t_h	t_m
-0.500	0.0113	0.0141	0.0092	0.0035	0.0000	0.0026	0.0000	0.0218	0.0225	0.0029
-0.469	0.0077	0.0232	0.0078	0.0080	0.0000	0.0057	0.0000	0.0190	0.0212	0.0064
-0.437	0.0042	0.0331	0.0091	0.0155	0.0000	0.0108	0.0000	0.0136	0.0178	0.0117
-0.406	0.0019	0.0419	0.0129	0.0258	0.0000	0.0166	0.0000	0.0079	0.0130	0.0175
-0.375	0.0008	0.0479	0.0179	0.0375	0.0000	0.0210	0.0000	0.0038	0.0081	0.0214
-0.343	0.0006	0.0498	0.0221	0.0482	0.0000	0.0217	0.0000	0.0015	0.0042	0.0214
-0.312	0.0011	0.0467	0.0239	0.0548	0.0000	0.0184	0.0000	0.0005	0.0019	0.0176
-0.281	0.0029	0.0391	0.0225	0.0546	0.0000	0.0127	0.0000	0.0001	0.0007	0.0119
-0.249	0.0065	0.0292	0.0184	0.0473	0.0000	0.0072	0.0000	0.0000	0.0004	0.0071
-0.218	0.0121	0.0205	0.0130	0.0358	0.0000	0.0034	0.0000	0.0000	0.0008	0.0047
-0.187	0.0187	0.0159	0.0078	0.0250	0.0000	0.0013	0.0000	0.0000	0.0021	0.0054
-0.156	0.0243	0.0162	0.0039	0.0191	0.0000	0.0004	0.0000	0.0000	0.0045	0.0091
-0.124	0.0263	0.0199	0.0017	0.0187	0.0000	0.0001	0.0000	0.0000	0.0081	0.0147
-0.093	0.0240	0.0240	0.0006	0.0211	0.0000	0.0000	0.0000	0.0000	0.0122	0.0199
-0.062	0.0182	0.0265	0.0002	0.0224	0.0000	0.0000	0.0000	0.0000	0.0155	0.0224
-0.030	0.0116	0.0276	0.0003	0.0203	0.0000	0.0000	0.0000	0.0000	0.0175	0.0215
0.001	0.0062	0.0289	0.0008	0.0155	0.0000	0.0000	0.0000	0.0000	0.0184	0.0191
0.032	0.0029	0.0315	0.0023	0.0106	0.0001	0.0000	0.0000	0.0000	0.0191	0.0189
0.064	0.0015	0.0349	0.0057	0.0086	0.0005	0.0000	0.0001	0.0000	0.0204	0.0237
0.095	0.0017	0.0382	0.0114	0.0122	0.0016	0.0000	0.0004	0.0000	0.0224	0.0335
0.126	0.0034	0.0413	0.0191	0.0228	0.0042	0.0000	0.0011	0.0000	0.0258	0.0458
0.158	0.0065	0.0447	0.0268	0.0404	0.0094	0.0000	0.0028	0.0002	0.0320	0.0573
0.189	0.0104	0.0487	0.0329	0.0620	0.0174	0.0000	0.0058	0.0006	0.0427	0.0650
0.220	0.0142	0.0531	0.0379	0.0820	0.0272	0.0000	0.0100	0.0021	0.0586	0.0671
