x	c_h	c_m	g_h	g_m	l_h	l_m	s_h	s_m	t_h	t_m
-2.500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0535
-2.449	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.1036
-2.399	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.1525
-2.348	0.0000	0.0000	0.0000	0.0059	0.0000	0.0000	0.0000	0.0000	0.0000	0.1824
-2.298	0.0000	0.0000	0.0000	0.0190	0.0000	0.0000	0.0000	0.0000	0.0000	0.1894
-2.247	0.0000	0.0000	0.0000	0.0474	0.0000	0.0000	0.0000	0.0000	0.0000	0.1873
-2.197	0.0000	0.0000	0.0000	0.0951	0.0000	0.0000	0.0000	0.0000	0.0000	0.2053
-2.146	0.0000	0.0004	0.0000	0.1566	0.0000	0.0000	0.0000	0.0000	0.0000	0.2697
-2.096	0.0000	0.0029	0.0000	0.2162	0.0000	0.0000	0.0000	0.0000	0.0000	0.3772
-2.045	0.0000	0.0129	0.0000	0.2618	0.0000	0.0000	0.0000	0.0000	0.0000	0.5050
-1.995	0.0000	0.0401	0.0000	0.2956	0.0000	0.0000	0.0000	0.0000	0.0000	0.6317
-1.944	0.0000	0.0888	0.0000	0.3283	0.0000	0.0000	0.0000	0.0000	0.0000	0.7378
-1.894	0.0000	0.1474	0.0000	0.3743	0.0000	0.0000	0.0000	0.0000	0.0000	0.8142
-1.843	0.0000	0.2028	0.0000	0.4434	0.0000	0.0001	0.0000	0.0000	0.0000	0.8751
-1.793	0.0000	0.2615	0.0000	0.5407	0.0000	0.0008	0.0000	0.0000	0.0000	0.9329
-1.742	0.0000	0.3322	0.0000	0.6650	0.0000	0.0050	0.0000	0.0004	0.0003	0.9758
-1.692	0.0000	0.4059	0.0000	0.7850	0.0000	0.0207	0.0000	0.0026	0.0015	1.0020
-1.641	0.0000	0.4856	0.0000	0.8511	0.0000	0.0621	0.0000	0.0117	0.0044	1.0359
-1.591	0.0000	0.5993	0.0000	0.8676	0.0000	0.1399	0.0000	0.0393	0.0089	1.0799
-1.540	0.0000	0.7632	0.0000	0.9008	0.0000	0.2502	0.0000	0.0998	0.0121	1.0940
-1.490	0.0000	0.9591	0.0000	0.9889	0.0000	0.3764	0.0000	0.1965	0.0109	1.0492
-1.439	0.0000	1.1494	0.0000	1.0964	0.0001	0.5053	0.0000	0.3134	0.0067	0.9721
-1.389	0.0000	1.2970	0.0002	1.1680	0.0004	0.6512	0.0001	0.4245	0.0027	0.9076
-1.338	0.0000	1.3863	0.0008	1.1738	0.0018	0.8644	0.0004	0.5140	0.0007	0.8556
-1.288	0.0000	1.4287	0.0029	1.1209	0.0050	1.1822	0.0016	0.5979	0.0001	0.7759
-1.237	0.0000	1.4397	0.0069	1.0561	0.0096	1.5557	0.0047	0.7407	0.0000	0.6394
-1.187	0.0000	1.4070	0.0111	1.0144	0.0122	1.8686	0.0093	1.0099	0.0000	0.4647
-1.136	0.0002	1.3028	0.0120	0.9603	0.0104	2.0392	0.0121	1.3777	0.0003	0.3092
-1.086	0.0008	1.1268	0.0087	0.8341	0.0060	2.0516	0.0107	1.7119	0.0013	0.2194
-1.035	0.0029	0.9181	0.0042	0.6410	0.0023	1.9038	0.0063	1.9094	0.0040	0.1906
-0.985	0.0069	0.7209	0.0014	0.4432	0.0006	1.6126	0.0025	1.9646	0.0085	0.1795
-0.934	0.0111	0.5529	0.0003	0.2898	0.0001	1.2469	0.0007	1.8815	0.0119	0.1545
-0.884	0.0120	0.4122	0.0001	0.1947	0.0000	0.8983	0.0001	1.6489	0.0113	0.1248
-0.833	0.0087	0.3001	0.0001	0.1525	0.0000	0.6260	0.0000	1.3156	0.0072	0.1124
-0.783	0.0044	0.2234	0.0004	0.1491	0.0000	0.4360	0.0000	0.9814	0.0032	0.1143
-0.732	0.0022	0.1838	0.0018	0.1623	0.0000	0.2987	0.0000	0.7135	0.0017	0.1107
-0.682	0.0032	0.1666	0.0051	0.1684	0.0000	0.1917	0.0000	0.5165	0.0033	0.0960
