bin_mid	Cauchy	Gaussian	Linear	Sigmoid	Tanimoto
-0.450	1	0	0	0	1
-0.350	1	2	1	0	1
-0.250	1	3	0	0	0
-0.150	2	0	0	0	0
-0.050	1	1	0	0	2
0.050	1	0	0	0	1
0.150	1	2	0	0	3
0.250	3	3	2	1	4
0.350	2	7	1	2	9
0.450	11	8	0	3	5
0.550	7	6	3	4	10
0.650	13	15	2	12	17
0.750	23	22	11	17	24
0.850	26	21	21	37	19
0.950	44	25	52	66	37
1.050	60	44	90	61	36
1.150	93	73	109	66	45
1.250	104	69	85	52	75
1.350	82	85	91	66	64
1.450	77	76	73	66	57
1.550	55	51	59	68	59
1.650	22	51	27	54	52
1.750	23	39	12	44	47
1.850	11	26	12	16	33
1.950	0	19	5	6	30
2.050	0	13	2	7	12
2.150	0	2	0	8	6
2.250	0	1	0	1	6
2.350	0	0	0	0	4
2.450	0	0	0	0	4
2.550	0	0	0	0	0
2.650	0	0	0	0	0
2.750	0	0	0	0	0
2.850	0	0	0	0	0
2.950	0	0	0	0	0
3.050	0	0	0	0	0
3.150	0	0	0	0	0
3.250	0	0	0	0	0
3.350	0	0	0	0	0
3.450	0	0	0	0	0
