tag	g_val	t_val	c_val	l_val	s_val
-1	1.043187	1.422723	0.954600	0.934575	0.710605
-1	1.836509	2.091213	1.666543	1.462429	1.316898
-1	1.367854	1.561894	1.285172	1.262629	1.092816
-1	1.453903	1.637315	1.319030	1.072821	1.040397
-1	1.177045	1.245177	1.216423	0.967624	0.816755
1	1.153355	0.911030	1.065774	1.294082	1.398445
1	0.991746	1.084828	1.167683	1.646321	1.709111
1	1.021141	0.879555	0.870717	1.035672	1.150454
1	1.009629	0.865612	0.945096	1.193561	1.457595
-1	2.053196	2.063772	1.681219	1.334774	1.276610
-1	1.624019	1.928871	1.436853	0.938891	0.716786
1	1.950722	1.815923	1.768608	1.555027	1.635396
1	1.045379	1.007003	1.080050	1.193059	1.301237
-1	1.983922	2.173496	1.732806	1.556203	1.444358
-1	1.830901	2.115104	1.604937	1.428785	1.360905
-1	1.623956	2.078113	1.539157	1.192414	1.003889
1	1.348252	1.408902	1.338887	1.643173	1.744475
-1	1.329164	1.630623	1.219368	1.194831	1.043377
-1	1.052484	1.226777	0.947704	0.826474	0.717299
-1	1.217996	1.468024	1.193384	1.147271	0.977103
-1	1.643094	1.762806	1.491645	1.468112	1.391723
-1	1.221962	1.339360	1.208701	1.079442	0.873943
1	1.691162	1.840550	1.574569	1.713657	1.827475
-1	1.906276	2.106498	1.706132	1.474715	1.341794
1	1.310100	1.323080	1.310915	1.413433	1.428602
1	1.713037	1.883944	1.794135	2.084294	2.174169
-1	1.921783	2.207094	1.706902	1.355943	1.246298
-1	2.110903	2.325605	1.822361	1.338329	1.262921
1	1.697746	1.643714	1.531230	1.532362	1.716960
-1	1.395340	1.721386	1.288950	1.020536	0.865070
1	1.431137	1.270456	1.192662	1.321558	1.432411
-1	1.473194	1.833122	1.388803	1.555950	1.461117
1	0.884117	0.722406	0.795884	1.026045	1.188526
1	1.329737	1.376575	1.372558	1.645035	1.739217
-1	1.820369	1.969208	1.703860	1.144285	1.028880
