g_val	t_val	c_val	l_val	s_val
1.1534	0.9110	1.0658	1.2941	1.3984
0.9917	1.0848	1.1677	1.6463	1.7091
1.0211	0.8796	0.8707	1.0357	1.1505
1.0096	0.8656	0.9451	1.1936	1.4576
1.9507	1.8159	1.7686	1.5550	1.6354
1.0454	1.0070	1.0800	1.1931	1.3012
1.3483	1.4089	1.3389	1.6432	1.7445
1.6912	1.8406	1.5746	1.7137	1.8275
1.3101	1.3231	1.3109	1.4134	1.4286
1.7130	1.8839	1.7941	2.0843	2.1742
1.6977	1.6437	1.5312	1.5324	1.7170
1.4311	1.2705	1.1927	1.3216	1.4324
0.8841	0.7224	0.7959	1.0260	1.1885
1.3297	1.3766	1.3726	1.6450	1.7392
1.2062	1.1951	1.1835	1.5063	1.6997
1.8865	1.9183	1.7499	1.4730	1.6473
1.3611	1.4639	1.2481	1.3541	1.4524
1.3477	1.3933	1.3120	1.3559	1.5816
1.8057	1.6783	1.5531	1.6009	1.7469
0.8312	0.8011	0.8386	1.1347	1.2062
0.9808	0.9197	0.9033	1.1485	1.2503
1.3769	0.9776	1.2196	1.0944	1.1930
0.8980	1.0070	1.0581	1.4915	1.5889
1.5552	1.6423	1.4452	1.5566	1.7590
1.4037	1.5788	1.4863	1.8965	2.1345
1.2995	1.2966	1.1571	1.3536	1.5299
1.3215	1.4707	1.3461	1.4509	1.5315
2.0880	2.2557	1.8910	1.9501	2.1627
1.0773	1.0576	1.0939	1.2583	1.2929
1.8607	1.6985	1.6325	1.3069	1.4042
0.3319	0.0812	0.4404	0.9668	1.0974
1.2400	1.1711	1.2507	1.2702	1.3894
0.7696	0.6923	0.7578	1.1076	1.3549
1.3500	1.2892	1.2338	1.4892	1.5942
1.2229	0.9711	1.1377	0.9844	1.0490
1.0996	1.1935	1.0897	1.1703	1.3567
1.3375	1.1971	1.2307	1.3851	1.4786
1.4219	1.4405	1.2796	1.5587	1.7050
1.5831	1.6053	1.4721	1.5081	1.5639
1.1923	1.1404	1.0983	1.1234	1.2680
1.1142	1.1884	1.0309	1.0460	1.1000
1.4053	1.3182	1.2175	1.3223	1.4780
1.5221	1.4762	1.3955	1.5856	1.7886
1.3610	1.1125	1.2266	1.3691	1.5308
0.9773	0.6616	0.9122	0.9494	1.1392
1.4691	1.2405	1.2615	1.3100	1.3697
1.7077	1.7996	1.5155	1.4281	1.5559
1.6268	1.5281	1.4745	1.4798	1.5987
1.2584	1.0619	1.2109	1.4161	1.6259
1.4540	1.5329	1.4498	1.5594	1.6809
0.4702	0.3084	0.5503	0.7636	0.9077
1.1097	0.9704	1.0273	1.1035	1.3009
1.7426	1.5319	1.5171	1.5256	1.6977
1.8042	1.6142	1.5070	1.5069	1.6255
1.2046	1.0553	1.1757	1.1695	1.3010
1.7219	1.7983	1.5356	1.5222	1.6923
1.1314	1.2307	1.1149	1.4402	1.5458
0.5800	0.6072	0.7623	1.3351	1.5085
1.0383	0.9696	1.0938	1.2027	1.2960
1.1185	1.2165	1.1098	1.0495	1.2252
0.8428	0.6858	0.8104	1.4201	1.6102
1.0470	1.0170	1.1242	1.2090	1.2535
0.7054	0.6021	0.7774	1.0318	1.2474
1.3393	1.3335	1.2349	1.3169	1.3601
1.4814	1.3831	1.2796	1.4793	1.6995
0.8536	0.7456	0.8420	0.9584	1.1751
1.1746	1.1995	1.1007	1.4358	1.5907
1.1451	0.7315	0.9815	1.0333	1.1982
1.1600	0.9747	1.0514	1.1094	1.2381
1.5851	1.3333	1.4164	1.3905	1.6520
0.7166	0.5804	0.8143	1.1365	1.2345
1.2351	1.2125	1.2697	1.5883	1.7132
1.3271	1.1894	1.2379	1.3627	1.4881
0.8216	0.6822	0.7915	1.0206	1.1270
1.4257	1.2733	1.3251	1.5297	1.7243
1.5448	1.5872	1.4392	1.3466	1.4053
1.1850	1.0849	1.1683	1.2627	1.3252
-1.1523	-1.5275	-0.8991	0.2939	0.4391
1.3580	1.2196	1.3257	1.4225	1.6371
0.3755	0.3010	0.4226	0.8520	1.0190
0.6026	0.7004	0.6922	1.3204	1.6837
0.8241	0.4952	0.6799	0.7129	0.8167
1.2442	1.1029	1.1604	1.3894	1.5789
1.4498	1.1826	1.3111	1.5034	1.6301
1.6875	1.7620	1.6130	1.3890	1.5271
1.4388	1.2543	1.2690	1.3625	1.6120
0.8102	0.7279	0.8774	1.1345	1.2328
1.2348	1.2926	1.2383	1.9160	2.2485
1.4803	1.5957	1.3394	1.4390	1.5380
1.0850	1.1902	1.0523	1.0499	1.1048
1.3097	1.3723	1.3030	1.4568	1.5548
1.4896	1.2673	1.2724	1.4426	1.5585
1.4480	1.3742	1.3261	1.3969	1.5778
1.4713	1.4816	1.3007	1.5570	1.7897
1.0625	1.0778	1.0351	1.2682	1.4505
0.6410	0.5994	0.7157	0.9483	1.0249
1.0531	0.8713	1.0167	1.0945	1.2654
