g_val	t_val	c_val	l_val	s_val
1.0432	1.4227	0.9546	0.9346	0.7106
1.8365	2.0912	1.6665	1.4624	1.3169
1.3679	1.5619	1.2852	1.2626	1.0928
1.4539	1.6373	1.3190	1.0728	1.0404
1.1770	1.2452	1.2164	0.9676	0.8168
2.0532	2.0638	1.6812	1.3348	1.2766
1.6240	1.9289	1.4369	0.9389	0.7168
1.9839	2.1735	1.7328	1.5562	1.4444
1.8309	2.1151	1.6049	1.4288	1.3609
1.6240	2.0781	1.5392	1.1924	1.0039
1.3292	1.6306	1.2194	1.1948	1.0434
1.0525	1.2268	0.9477	0.8265	0.7173
1.2180	1.4680	1.1934	1.1473	0.9771
1.6431	1.7628	1.4916	1.4681	1.3917
1.2220	1.3394	1.2087	1.0794	0.8739
1.9063	2.1065	1.7061	1.4747	1.3418
1.9218	2.2071	1.7069	1.3559	1.2463
2.1109	2.3256	1.8224	1.3383	1.2629
1.3953	1.7214	1.2889	1.0205	0.8651
1.4732	1.8331	1.3888	1.5560	1.4611
1.8204	1.9692	1.7039	1.1443	1.0289
1.4730	1.6351	1.3143	1.2059	1.0898
1.3068	1.5433	1.2890	0.9483	0.8244
0.8917	1.0105	0.8333	0.7666	0.6700
1.4660	1.6894	1.3791	1.2235	1.0438
1.1861	1.5427	1.0998	0.9338	0.8099
1.2165	1.3818	1.0697	0.8997	0.7050
1.6772	1.7589	1.4274	0.9692	0.8277
1.1171	1.3088	1.0489	1.1201	0.9834
2.0912	2.4122	1.8486	1.3055	1.2186
1.6682	1.6743	1.2743	0.9851	0.8671
1.1840	1.3728	1.1774	0.9129	0.7996
1.5564	1.7549	1.3654	1.1731	1.0618
0.5009	0.6199	0.4835	1.0598	1.0946
1.8232	2.1132	1.5811	1.4388	1.4203
1.2647	1.4155	1.1324	1.1535	1.0967
1.3518	1.6498	1.2080	1.1377	1.0504
1.1932	1.4666	1.1567	1.1585	0.9992
1.1874	1.4933	1.2042	1.0735	0.8246
0.9952	1.3021	0.8534	0.9244	0.7557
1.0257	1.2801	0.9311	0.6058	0.3802
1.7247	1.8549	1.5294	1.1912	1.1116
1.3560	1.3968	1.1916	1.0197	0.9113
1.0102	1.2081	0.8600	1.0765	1.1262
1.7028	1.9792	1.5604	1.0538	0.8510
1.4249	1.7110	1.2750	1.1875	1.0891
1.5522	1.7612	1.3775	1.1610	0.9752
1.5048	1.7512	1.3867	0.8981	0.8354
1.7011	1.9972	1.4081	1.0183	0.9688
1.3191	1.5036	1.2325	0.9484	0.9088
1.6325	1.8801	1.4142	1.4180	1.3760
0.3668	0.5150	0.4601	0.7572	0.6478
1.5831	1.6374	1.3240	1.2602	1.1425
1.2932	1.4230	1.2645	1.0697	0.9675
-0.2679	-0.0610	-0.2897	-0.8510	-1.1394
1.2199	1.3799	1.1009	0.9068	0.8132
1.4145	1.5493	1.3001	1.1283	1.0349
0.9299	1.2912	0.9566	1.2309	1.0618
1.0467	1.2856	1.0344	1.1587	0.9727
1.3453	1.5871	1.1784	0.9953	0.7744
1.7731	1.7945	1.4487	1.1216	0.9667
1.5722	1.7468	1.3502	1.2101	1.1074
1.4484	1.7748	1.2429	1.0142	0.8277
1.1908	1.3811	1.0602	1.3599	1.3227
1.2860	1.4055	1.1508	1.1474	1.0993
1.1312	1.2308	1.0483	0.9990	0.9454
0.3204	0.4871	0.3566	0.8397	0.7192
0.6812	0.7931	0.7659	1.0062	0.9189
1.3422	1.4818	1.2223	1.0414	0.9255
0.6965	0.9811	0.6770	0.7577	0.5273
1.4738	1.7415	1.3475	1.0742	0.9382
1.2763	1.6285	1.0860	1.0448	0.8723
1.1118	1.5888	1.0441	1.1330	0.9329
