g	pw80_20	pw80_08	pw82_08	pw84_08	pw88_08
1.153	1.361	1.365	1.257	1.091	0.961
0.992	1.841	1.740	1.422	1.132	1.171
1.021	0.981	0.968	0.978	0.937	0.782
1.010	0.965	0.946	0.961	0.923	0.886
1.951	1.371	2.085	1.701	1.481	1.246
1.045	1.023	1.225	1.048	1.037	1.010
1.348	1.319	1.113	1.062	1.028	0.952
1.691	1.481	1.906	1.443	1.366	1.206
1.310	1.401	1.186	1.037	0.944	0.869
1.713	2.211	2.197	1.782	1.391	1.441
1.698	1.370	1.267	1.117	1.066	1.058
1.431	1.671	2.023	1.124	1.007	1.246
0.884	0.633	0.713	0.720	0.690	0.651
1.330	1.621	1.538	1.428	1.285	1.515
1.206	2.566	2.947	2.147	1.300	1.351
1.886	1.181	1.176	1.155	1.104	1.183
1.361	1.181	1.486	0.963	0.850	0.785
1.348	0.949	0.892	0.946	0.917	0.870
1.806	1.296	1.305	1.332	1.241	1.195
0.831	1.238	1.046	0.900	0.732	0.563
0.981	1.096	1.098	0.939	0.850	0.821
1.377	1.390	1.198	1.033	0.874	0.890
0.898	1.423	1.303	1.156	1.077	1.236
1.555	1.147	1.483	1.078	1.027	1.083
1.404	1.137	1.264	1.315	1.274	1.278
1.300	1.192	1.146	1.096	1.002	0.979
1.321	1.257	1.482	1.312	1.174	0.889
2.088	1.299	1.335	1.352	1.329	1.424
1.077	1.264	1.304	1.033	1.090	1.100
1.861	1.529	2.157	1.606	1.208	0.872
0.332	0.902	0.673	0.671	0.674	0.444
1.240	1.647	1.280	1.176	1.019	0.909
0.770	1.053	1.043	0.987	0.911	0.849
1.350	2.716	1.039	1.838	1.976	1.565
1.223	0.964	0.911	0.951	0.878	0.900
1.100	0.785	0.693	0.746	0.736	0.713
1.338	1.191	1.095	0.951	0.836	0.676
1.422	1.395	1.828	1.233	1.055	1.190
1.583	1.072	1.040	0.960	0.887	0.891
1.192	0.843	1.193	0.697	0.654	0.704
1.114	1.030	1.040	0.956	0.788	0.600
1.405	1.175	0.901	0.919	0.895	0.887
1.522	1.365	1.238	1.257	1.190	1.207
1.361	1.159	1.237	1.003	0.897	0.857
0.977	0.754	0.685	0.727	0.693	0.652
1.469	1.102	1.024	1.024	0.969	0.869
1.708	1.200	1.297	1.091	1.022	1.066
1.627	1.217	1.288	1.163	1.001	1.026
1.258	1.130	1.467	1.637	1.563	1.658
1.454	1.396	1.294	1.266	1.226	1.243
0.470	0.847	0.651	0.480	0.292	0.178
1.110	1.018	0.944	0.934	0.886	0.923
1.743	1.442	1.369	1.209	1.059	1.028
1.804	1.196	1.128	1.050	1.024	1.073
1.205	1.293	1.135	1.067	0.966	0.861
1.722	1.295	1.417	1.039	0.991	0.967
1.131	3.304	4.522	3.049	1.463	1.346
0.580	2.828	3.710	2.335	1.333	0.885
1.038	1.895	1.384	1.254	1.049	0.821
1.119	0.702	0.704	0.685	0.672	0.666
0.843	1.322	1.562	1.264	1.093	1.003
1.047	1.469	2.154	1.671	1.294	1.163
0.705	0.962	0.973	0.773	0.630	0.461
1.339	1.174	1.122	0.858	0.823	0.799
1.481	1.287	1.503	1.514	1.377	1.210
0.854	0.979	0.874	0.892	0.732	0.611
1.175	0.994	1.029	0.965	0.924	0.907
