g	pw80_20	pw80_08	pw82_08	pw84_08	pw88_08
-1.043	-1.239	-1.391	-1.132	-1.111	-0.786
-1.837	-1.486	-1.684	-1.304	-1.209	-1.272
-1.368	-2.001	-1.565	-1.345	-1.219	-1.383
-1.454	-0.998	-1.027	-0.899	-0.850	-0.909
-1.177	-0.771	-0.883	-0.991	-1.126	-1.409
-2.053	-1.604	-1.254	-1.273	-1.291	-1.385
-1.624	-1.264	-1.410	-1.100	-0.993	-0.901
-1.984	-1.347	-1.438	-1.250	-1.186	-1.266
-1.831	-1.513	-1.450	-1.291	-1.311	-1.473
-1.624	-1.185	-0.913	-0.709	-0.876	-1.053
-1.329	-0.992	-1.326	-1.024	-0.938	-0.942
-1.052	-1.000	-1.184	-0.887	-0.801	-0.889
-1.218	-1.020	-1.244	-1.057	-0.964	-1.038
-1.643	-1.549	-1.341	-1.389	-1.381	-1.473
-1.222	-1.194	-1.227	-1.073	-1.101	-1.517
-1.906	-0.969	-1.739	-1.377	-1.359	-1.498
-1.922	-0.972	-1.048	-1.066	-1.049	-1.250
-2.111	-1.529	-1.299	-1.215	-1.285	-1.443
-1.395	-0.977	-0.850	-0.843	-0.823	-0.869
-1.473	-1.060	-0.975	-0.956	-1.137	-1.218
-1.820	-1.296	-1.781	-1.644	-1.628	-1.218
-1.473	-1.128	-0.963	-1.023	-1.039	-1.067
-1.307	-1.213	-1.176	-0.991	-1.068	-1.046
-0.892	-0.908	-0.545	-0.645	-0.659	-0.635
-1.466	-2.037	-1.601	-1.249	-1.107	-0.941
-1.186	-1.107	-1.084	-1.076	-0.944	-0.842
-1.217	-0.990	-0.919	-0.850	-0.948	-1.006
-1.677	-1.464	-1.926	-1.447	-1.119	-1.074
-1.117	-1.340	-1.440	-1.183	-1.022	-0.927
-2.091	-1.197	-1.246	-1.234	-1.172	-1.245
-1.668	-0.894	-0.876	-0.744	-0.742	-0.859
-1.184	-1.202	-1.243	-1.005	-0.974	-0.958
-1.556	-1.171	-1.136	-0.971	-0.913	-0.952
-0.501	-0.704	-0.979	-0.952	-1.010	-0.967
-1.823	-1.264	-1.223	-1.173	-1.233	-1.307
-1.265	-0.969	-1.329	-1.180	-1.130	-1.066
-1.352	-0.861	-0.983	-0.969	-0.989	-1.073
-1.193	-1.498	-1.337	-1.128	-1.152	-1.034
-1.187	-1.196	-1.716	-1.000	-0.946	-1.030
-0.995	-1.008	-1.074	-0.939	-0.764	-0.635
-1.026	-0.675	-0.765	-0.563	-0.375	-0.389
-1.725	-0.781	-1.230	-1.033	-0.908	-0.798
-1.356	-1.501	-1.772	-1.651	-1.572	-1.287
-1.010	-0.577	-0.747	-0.761	-0.796	-0.837
-1.703	-0.946	-1.057	-0.912	-0.914	-1.021
-1.425	-0.925	-0.993	-0.969	-1.056	-1.088
-1.552	-1.293	-1.519	-1.536	-1.478	-1.243
-1.505	-1.056	-0.983	-0.852	-0.874	-0.976
-1.701	-0.892	-0.947	-0.858	-0.919	-1.057
-1.319	-1.117	-1.087	-0.956	-0.931	-1.037
-1.633	-0.825	-1.011	-0.918	-1.155	-1.215
-0.367	-0.377	-0.100	-0.011	-0.166	-0.480
-1.583	-1.401	-1.430	-1.124	-1.062	-1.127
-1.293	-1.429	-1.698	-1.381	-1.122	-0.996
0.268	0.259	0.185	0.509	0.740	0.697
-1.220	-0.892	-0.529	-0.614	-0.593	-0.791
-1.415	-1.444	-1.152	-1.060	-1.035	-1.783
-0.930	-0.855	-1.302	-1.079	-1.071	-0.880
-1.047	-0.828	-0.892	-0.803	-0.925	-0.851
-1.345	-1.029	-1.115	-0.778	-0.644	-0.677
-1.773	-2.017	-1.580	-1.219	-0.915	-0.896
-1.572	-1.085	-1.287	-1.103	-1.146	-1.249
-1.448	-0.938	-0.933	-0.870	-0.874	-0.876
-1.191	-1.046	-0.855	-0.785	-1.076	-1.128
-1.286	-1.016	-1.301	-1.150	-1.135	-1.059
-1.131	-0.954	-1.128	-1.213	-1.036	-0.967
-0.320	-0.557	-0.554	-0.991	-0.946	-0.743
-0.681	-1.007	-0.994	-0.634	-0.691	-0.600
-1.342	-1.270	-1.392	-1.143	-1.108	-1.071
-0.696	-0.764	-1.013	-0.774	-0.756	-0.917
-1.474	-0.698	-0.660	-0.682	-0.701	-0.768
-1.276	-1.041	-1.307	-1.031	-1.004	-0.963
-1.112	-0.989	-1.078	-1.052	-0.957	-0.840
-1.938	-1.483	-1.635	-1.366	-1.510	-1.299
-1.428	-1.378	-1.324	-1.232	-1.181	-1.303
-1.415	-1.091	-1.295	-1.360	-1.200	-1.240
-1.270	-0.990	-1.254	-1.036	-1.064	-1.016
-2.083	-1.109	-1.060	-1.106	-1.187	-1.358
-1.309	-0.780	-1.058	-0.969	-0.969	-0.929
-1.115	-0.495	-0.846	-1.012	-0.992	-0.844
-1.232	-1.119	-0.957	-1.135	-1.364	-1.330
-1.655	-1.239	-1.423	-1.440	-1.406	-1.303
-1.575	-1.514	-1.338	-1.235	-1.228	-1.268
-1.211	-1.314	-1.262	-1.110	-1.039	-1.008
-1.546	-0.980	-1.037	-1.065	-1.051	-1.095
-0.223	2.259	3.404	2.035	1.016	0.004
-1.667	-1.340	-2.217	-1.511	-1.370	-1.148
-1.973	-1.480	-1.474	-1.242	-1.231	-1.286
-2.001	-1.193	-0.942	-0.649	-0.724	-0.913
-1.345	-1.106	-0.767	-0.746	-0.760	-0.918
-1.388	-0.743	-0.664	-0.741	-0.903	-0.858
-1.334	-0.923	-1.031	-0.830	-0.855	-0.930
-1.306	-0.941	-0.668	-0.664	-0.815	-0.901
-1.631	-0.989	-0.974	-1.016	-1.073	-1.237
-0.630	0.016	0.211	-0.198	-0.373	-0.886
-1.476	-0.948	-1.053	-1.023	-1.010	-0.971
-1.134	-1.032	-1.245	-1.018	-0.944	-0.956
-1.249	-1.129	-0.836	-0.887	-1.016	-0.917
-1.860	-1.092	-1.031	-0.970	-1.057	-1.136
-1.438	-1.780	-1.219	-0.793	-0.585	-0.716
-1.398	-1.185	-0.993	-0.971	-1.004	-0.965
