c	g	l	s	t
1.07	1.15	1.29	1.40	0.91
0.95	1.01	1.19	1.46	0.87
1.34	1.35	1.64	1.74	1.41
1.79	1.71	2.08	2.17	1.88
0.80	0.88	1.03	1.19	0.72
1.75	1.89	1.47	1.65	1.92
1.55	1.81	1.60	1.75	1.68
1.22	1.38	1.09	1.19	0.98
1.49	1.40	1.90	2.13	1.58
1.89	2.09	1.95	2.16	2.26
0.44	0.33	0.97	1.10	0.08
1.23	1.35	1.49	1.59	1.29
1.23	1.34	1.39	1.48	1.20
1.10	1.19	1.12	1.27	1.14
1.40	1.52	1.59	1.79	1.48
1.26	1.47	1.31	1.37	1.24
1.21	1.26	1.42	1.63	1.06
1.03	1.11	1.10	1.30	0.97
1.18	1.20	1.17	1.30	1.06
0.76	0.58	1.34	1.51	0.61
0.81	0.84	1.42	1.61	0.69
1.23	1.34	1.32	1.36	1.33
1.10	1.17	1.44	1.59	1.20
1.42	1.59	1.39	1.65	1.33
1.24	1.33	1.36	1.49	1.19
1.44	1.54	1.35	1.41	1.59
1.33	1.36	1.42	1.64	1.22
0.68	0.82	0.71	0.82	0.50
1.61	1.69	1.39	1.53	1.76
1.24	1.23	1.92	2.25	1.29
1.30	1.31	1.46	1.55	1.37
1.30	1.47	1.56	1.79	1.48
1.02	1.05	1.09	1.27	0.87
1.58	1.79	1.61	1.75	1.60
1.08	1.13	1.07	1.16	1.15
1.15	1.03	1.38	1.44	1.08
1.21	1.25	1.28	1.52	1.10
0.68	0.63	1.27	1.39	0.63
1.20	1.43	1.16	1.28	1.20
1.28	1.50	1.37	1.46	1.36
1.59	1.56	1.59	1.74	1.65
1.49	1.60	1.75	1.86	1.59
1.24	1.23	1.40	1.52	1.28
1.29	1.49	1.30	1.47	1.15
0.84	0.97	1.24	1.46	0.80
1.64	2.01	1.42	1.51	1.78
1.29	1.22	1.64	1.76	1.31
1.69	1.76	1.94	2.13	1.89
0.45	0.44	0.88	1.00	0.28
1.41	1.54	1.18	1.33	1.50
1.43	1.67	1.24	1.31	1.55
0.95	1.12	1.27	1.39	0.93
0.91	0.98	0.87	1.01	0.99
1.41	1.41	1.69	1.78	1.54
0.99	1.07	1.50	1.66	1.08
1.02	1.19	1.38	1.57	1.07
1.23	1.13	1.31	1.41	1.41
0.75	0.80	0.94	1.07	0.73
1.75	2.03	1.90	2.14	2.10
1.75	1.91	1.42	1.59	1.97
1.59	1.61	1.88	2.08	1.73
0.87	0.83	1.18	1.26	0.71
1.29	1.31	1.14	1.15	1.22
1.50	1.69	1.43	1.57	1.57
1.73	1.93	1.93	2.05	2.03
1.42	1.48	1.76	2.02	1.48
1.62	1.79	1.87	2.13	1.74
0.70	0.73	0.86	0.97	0.73
1.12	1.16	1.27	1.32	0.90
1.42	1.58	1.41	1.48	1.42
0.62	0.59	1.02	1.13	0.68
0.25	0.18	0.55	0.66	-0.05
1.62	1.79	1.52	1.60	1.85
1.41	1.59	1.30	1.37	1.48
0.80	0.68	1.11	1.21	0.73
1.04	1.07	1.26	1.37	1.05
0.69	0.73	1.06	1.31	0.62
1.29	1.53	1.50	1.59	1.44
0.55	0.33	1.26	1.50	0.39
1.83	2.03	1.84	1.97	2.11
0.67	0.75	0.92	1.11	0.60
1.73	1.93	1.54	1.62	1.73
0.77	0.81	0.98	1.05	0.71
1.59	1.71	1.71	1.82	1.86
1.46	1.52	1.37	1.46	1.45
1.30	1.43	1.41	1.51	1.53
1.18	1.41	1.41	1.49	1.15
1.27	1.38	1.15	1.19	1.30
1.00	1.07	1.02	1.15	0.96
1.66	1.91	1.88	2.03	1.94
-0.15	-0.27	0.25	0.28	-0.45
1.02	1.22	1.06	1.16	0.99
1.54	1.73	1.57	1.73	1.78
0.93	0.95	1.07	1.12	0.79
1.24	1.17	1.55	1.55	1.15
1.28	1.40	1.35	1.47	1.25
1.59	1.59	1.76	1.87	1.74
1.13	1.08	1.60	1.73	1.11
1.44	1.31	1.86	1.93	1.43
1.60	1.83	1.39	1.55	1.62
1.11	1.15	1.24	1.32	1.10
1.39	1.40	1.29	1.46	1.35
1.22	1.17	1.30	1.51	1.09
1.17	1.21	1.19	1.26	1.23
0.85	0.70	1.30	1.31	0.83
1.17	1.16	1.50	1.82	1.09
1.21	1.26	1.29	1.43	1.20
1.33	1.49	1.38	1.53	1.35
1.30	1.36	1.19	1.23	1.27
1.49	1.71	1.63	1.76	1.55
1.13	1.23	1.35	1.57	1.10
1.34	1.39	1.46	1.69	1.27
1.43	1.53	1.75	1.87	1.52
1.41	1.64	1.62	1.88	1.61
1.28	1.38	1.57	1.63	1.22
1.01	1.07	1.31	1.42	1.00
1.75	1.87	1.72	1.85	1.95
1.08	1.17	1.26	1.43	1.13
1.13	1.33	1.10	1.12	0.94
1.48	1.72	1.55	1.69	1.58
1.16	1.21	1.51	1.65	1.12
1.25	1.36	1.31	1.41	1.16
0.89	0.78	1.43	1.62	0.78
0.46	0.41	1.18	1.53	0.35
1.10	1.14	1.35	1.51	1.12
1.71	1.88	1.69	1.76	1.79
1.58	1.54	1.88	2.15	1.70
1.23	1.14	1.38	1.42	1.13
0.82	0.80	0.93	1.04	0.85
1.23	1.28	1.18	1.34	1.22
0.75	0.74	1.14	1.31	0.72
1.17	1.21	1.38	1.53	1.24
0.82	0.74	1.02	1.15	0.73
1.57	1.89	1.57	1.68	1.61
1.13	1.09	1.15	1.28	0.90
1.26	1.22	1.19	1.31	1.28
