c	g	l	s	t
-0.95	-1.04	-0.93	-0.71	-1.42
-1.32	-1.45	-1.07	-1.04	-1.64
-1.44	-1.62	-0.94	-0.72	-1.93
-1.54	-1.62	-1.19	-1.00	-2.08
-1.19	-1.22	-1.15	-0.98	-1.47
-1.71	-1.91	-1.47	-1.34	-2.11
-1.29	-1.40	-1.02	-0.87	-1.72
-1.31	-1.47	-1.21	-1.09	-1.64
-1.38	-1.47	-1.22	-1.04	-1.69
-1.43	-1.68	-0.97	-0.83	-1.76
-1.27	-1.67	-0.99	-0.87	-1.67
-0.48	-0.50	-1.06	-1.09	-0.62
-1.21	-1.35	-1.14	-1.05	-1.65
-0.85	-1.00	-0.92	-0.76	-1.30
-1.19	-1.36	-1.02	-0.91	-1.40
-1.27	-1.42	-1.19	-1.09	-1.71
-1.41	-1.70	-1.02	-0.97	-2.00
-0.46	-0.37	-0.76	-0.65	-0.52
0.29	0.27	0.85	1.14	0.06
-0.96	-0.93	-1.23	-1.06	-1.29
-1.45	-1.77	-1.12	-0.97	-1.79
-1.06	-1.19	-1.36	-1.32	-1.38
-0.36	-0.32	-0.84	-0.72	-0.49
-0.68	-0.70	-0.76	-0.53	-0.98
-1.04	-1.11	-1.13	-0.93	-1.59
-1.30	-1.42	-1.40	-1.29	-1.50
-1.19	-1.31	-0.87	-0.74	-1.53
-1.45	-1.65	-1.21	-1.15	-1.92
-1.41	-1.55	-1.00	-0.94	-1.74
-1.73	-1.97	-1.35	-1.24	-2.27
-1.27	-1.39	-1.03	-0.93	-1.57
-1.46	-1.63	-1.44	-1.43	-1.77
-1.00	-1.13	-1.07	-1.05	-1.27
-1.33	-1.44	-0.93	-0.77	-1.72
-1.06	-1.15	-0.89	-0.57	-1.53
-0.71	-0.77	-1.08	-1.00	-1.10
-1.49	-1.64	-1.07	-0.95	-1.83
-1.16	-1.35	-1.17	-1.00	-1.60
-1.11	-1.12	-0.88	-0.72	-1.22
-1.04	-1.03	-0.98	-0.89	-1.12
-1.42	-1.75	-1.05	-0.95	-1.64
-1.42	-1.69	-1.38	-1.33	-1.89
-1.08	-1.27	-1.23	-1.16	-1.44
-0.95	-1.10	-1.15	-1.09	-1.27
-1.26	-1.45	-0.99	-0.86	-1.52
-1.11	-1.30	-0.88	-0.84	-1.03
-1.32	-1.50	-1.07	-0.97	-1.79
-0.96	-1.01	-0.91	-0.87	-1.13
-0.97	-1.07	-0.93	-0.87	-1.22
-1.61	-1.76	-1.22	-1.03	-1.96
-1.41	-1.70	-0.99	-0.77	-1.86
-1.58	-1.88	-1.28	-1.22	-1.99
-1.27	-1.43	-1.00	-0.94	-1.51
-1.23	-1.30	-1.03	-0.86	-1.47
-1.09	-1.21	-1.09	-1.06	-1.38
-1.33	-1.34	-1.38	-1.29	-1.74
-1.22	-1.32	-0.98	-0.86	-1.55
-1.45	-1.65	-1.31	-1.29	-1.90
-1.03	-1.16	-0.98	-0.82	-1.38
-1.44	-1.64	-1.11	-0.94	-1.81
-1.29	-1.40	-1.24	-1.22	-1.55
-1.24	-1.20	-1.20	-1.04	-1.49
-1.38	-1.39	-1.29	-1.10	-1.89
-1.55	-1.75	-1.05	-0.91	-1.95
-1.21	-1.45	-1.22	-1.06	-1.69
-1.44	-1.43	-1.20	-1.09	-1.90
-0.24	-0.25	-0.72	-0.55	-0.50
-1.17	-1.36	-1.18	-1.03	-1.55
-1.43	-1.54	-1.06	-0.88	-1.87
-1.15	-1.24	-1.07	-0.98	-1.47
-1.45	-1.66	-1.19	-1.05	-1.61
-0.78	-0.81	-0.98	-0.88	-1.02
-1.41	-1.68	-1.20	-1.09	-1.81
-1.37	-1.61	-1.15	-1.08	-1.79
-1.67	-1.85	-1.40	-1.30	-2.05
-1.08	-1.15	-1.12	-1.01	-1.37
-1.46	-1.77	-1.13	-0.92	-1.98
-1.47	-1.72	-1.11	-0.95	-1.87
-0.84	-0.99	-0.92	-0.92	-1.25
-0.62	-0.57	-0.97	-0.87	-0.71
-0.69	-0.69	-0.91	-0.91	-1.00
-0.60	-0.64	-0.56	-0.42	-0.90
-1.30	-1.46	-1.22	-1.17	-1.69
-1.50	-1.78	-1.04	-0.97	-1.98
-1.89	-2.09	-1.40	-1.37	-2.42
-0.92	-1.06	-1.08	-0.99	-1.21
-1.26	-1.48	-1.07	-1.00	-1.57
