idx	shannonAA	shannonPROP	linearAA	linearPROP	renyiAA	renyiPROP	tsallisAA	tsallisPROP
1	1.418774	1.386398	0.733823	0.709115	1.585861	1.610762	2.419726	2.475098
2	0.852486	1.398359	0.496791	0.738265	1.164020	1.516764	1.579264	2.269638
3	1.338417	1.430122	0.668531	0.703834	1.727889	1.657028	2.745000	2.579827
4	0.806913	1.162643	0.468960	0.649105	1.139793	1.389286	1.536168	2.005988
5	1.573132	1.737463	0.732299	0.793841	1.846816	1.858987	3.035712	3.066452
6	1.111426	1.044706	0.658339	0.605533	1.200787	1.209972	1.645672	1.662453
7	0.789701	1.343004	0.451265	0.723728	1.006907	1.415832	1.308849	2.059515
8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
9	0.587676	1.325516	0.353643	0.716202	0.837585	1.448299	1.040250	2.125951
10	1.491677	1.341600	0.751245	0.703543	1.596353	1.447794	2.442973	2.124911
11	1.370920	1.786660	0.681382	0.822315	1.665522	1.864831	2.599318	3.081278
12	0.621799	0.989341	0.283104	0.572557	1.143802	1.268278	1.543263	1.770796
13	0.997910	1.446392	0.435452	0.724199	1.539028	1.687994	2.317434	2.651289
14	1.458953	1.419271	0.686758	0.716830	1.767343	1.607169	2.839535	2.467066
15	0.460867	0.610544	0.202014	0.256254	0.912365	1.134546	1.156077	1.526902
16	0.868991	1.409462	0.474782	0.728172	1.159088	1.556975	1.570448	2.356351
17	1.635623	1.556646	0.753804	0.764285	1.892532	1.714902	3.152146	2.714288
18	0.576512	1.270280	0.272136	0.696298	0.948215	1.384011	1.213160	1.995437
19	1.144164	1.217356	0.620086	0.664846	1.369504	1.425608	1.966560	2.079405
20	1.058705	1.543626	0.533893	0.759297	1.460160	1.663190	2.150494	2.593958
21	1.136966	0.825157	0.600249	0.526429	1.333294	0.985192	1.895392	1.273119
22	0.735593	1.339418	0.420919	0.715290	1.038719	1.457474	1.361901	2.144922
23	0.123471	0.755629	0.052182	0.513310	0.279942	0.838915	0.300481	1.042273
24	1.573842	1.659376	0.745337	0.785999	1.789421	1.795474	2.893255	2.908086
25	1.021595	1.395577	0.518181	0.721935	1.398762	1.532306	2.025014	2.302946
26	0.606405	1.295337	0.291672	0.703781	1.124351	1.423072	1.508970	2.074235
27	0.243401	1.183194	0.078503	0.677728	0.833816	1.338681	1.034526	1.905898
28	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29	0.930675	1.207863	0.546399	0.665263	1.320578	1.437081	1.870703	2.102874
30	1.325642	1.418152	0.628985	0.729493	1.836324	1.598882	3.009364	2.448594
31	1.013854	1.145013	0.523457	0.631217	1.395495	1.374211	2.018444	1.975906
32	1.366082	1.492784	0.619785	0.740953	1.906724	1.698410	3.188835	2.675576
33	1.755391	1.585311	0.742189	0.750988	2.122100	1.806097	3.778807	2.934226
34	0.154162	0.360073	0.047553	0.127995	0.611852	0.950884	0.715763	1.217451
35	0.018553	0.055383	0.005348	0.015915	0.098412	0.281108	0.100873	0.301823
36	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
37	0.018553	0.037014	0.005348	0.010652	0.098412	0.191966	0.100873	0.201480
38	0.468569	0.973134	0.198679	0.434988	0.960041	1.369275	1.232215	1.966105
39	1.146837	1.427910	0.443373	0.722227	1.832289	1.670756	2.999269	2.611372
40	2.106500	1.688051	0.835900	0.791233	2.410517	1.838046	4.675244	3.013681
41	1.206336	1.194795	0.602089	0.586420	1.499780	1.443722	2.233535	2.116520
42	1.686985	1.756151	0.751116	0.802070	2.031061	1.859625	3.521654	3.068067
43	0.018553	1.110981	0.005348	0.667855	0.098412	1.164755	0.100873	1.580580
44	0.690838	1.111986	0.353772	0.665255	1.105327	1.178224	1.475751	1.604774
45	0.835498	1.085291	0.523615	0.640124	1.140637	1.214277	1.537661	1.670346
